dx,dy,dz,gFlops,gpu_comp
32,256,256,182.780136,2.811040
64,256,256,184.893311,5.557824
96,256,256,186.525711,8.263776
128,256,256,185.247955,11.094368
160,256,256,181.421600,14.160448
192,256,256,174.608734,17.655552
224,256,256,163.337372,22.019552
256,256,256,161.516556,25.448896
288,256,256,161.174225,28.690817
320,256,256,158.753418,32.364799
352,256,256,161.419159,35.013344
384,256,256,161.931122,38.075615
416,256,256,160.105667,41.718880
448,256,256,162.959274,44.141281
480,256,256,160.061569,48.150433
512,256,256,160.787689,51.128513
544,256,256,161.082932,54.224480
576,256,256,160.389267,57.662464
608,256,256,160.271423,60.910686
640,256,256,159.658569,64.362625
672,256,256,159.886719,67.484322
704,256,256,160.136292,70.587677
736,256,256,160.960632,73.418274
768,256,256,161.163666,76.513855
800,256,256,160.422607,80.070114
832,256,256,160.100266,83.440575
864,256,256,159.830643,86.795998
896,256,256,158.945480,90.511932
928,256,256,160.665527,92.740898
960,256,256,162.440308,94.890656
992,256,256,161.359909,98.710205
1024,256,256,159.724487,102.937698
1056,256,256,158.590134,106.913795
1088,256,256,159.957153,109.212227
1120,256,256,160.396713,112.116257
1152,256,256,160.903336,114.956482
1184,256,256,160.805923,118.221283
1216,256,256,160.858673,121.376640
1248,256,256,161.537811,124.047043
1280,256,256,161.745438,127.064415
1312,256,256,162.820847,129.380798
1344,256,256,161.920090,133.273727
1376,256,256,160.827255,137.374084
1408,256,256,160.833954,140.562973
1440,256,256,160.697327,143.879807
1472,256,256,160.464264,147.290756
1504,256,256,160.738510,150.235962
1536,256,256,160.711121,153.458618
1568,256,256,160.679245,156.686752
1600,256,256,160.121201,160.441666
1632,256,256,160.002380,163.772034
1664,256,256,160.140579,166.839142
1696,256,256,160.352844,169.822495
1728,256,256,160.203857,173.187592
1760,256,256,159.909470,176.719513
1792,256,256,159.445068,180.456665
1824,256,256,160.101776,182.925690
1856,256,256,159.764679,186.527649
1888,256,256,161.013931,188.271484
1920,256,256,160.567032,191.995422
1952,256,256,160.229111,195.607010
1984,256,256,163.789032,194.492508
2016,256,256,161.256546,200.733185
2048,256,256,160.231476,205.223999
