dx,dy,dz,gFlops,gpu_comp
32,256,256,155.264038,3.309216
64,256,256,156.908020,6.549088
96,256,256,158.205933,9.743040
128,256,256,157.682343,13.033856
160,256,256,157.988007,16.260799
192,256,256,101.367149,30.412352
224,256,256,101.547813,35.417953
256,256,256,101.902100,40.336929
288,256,256,101.249466,45.671551
320,256,256,102.041817,50.352127
352,256,256,101.724060,55.560352
384,256,256,101.771660,60.582943
416,256,256,116.754753,57.209057
448,256,256,127.932472,56.226784
480,256,256,127.416885,60.486752
512,256,256,126.589622,64.940834
544,256,256,137.618271,63.470047
576,256,256,137.403076,67.308830
608,256,256,151.043121,64.632156
640,256,256,157.341095,65.310623
672,256,256,157.278320,68.603523
704,256,256,158.478714,71.325981
736,256,256,156.075424,75.716286
768,256,256,157.505753,78.290817
800,256,256,155.539520,82.583870
832,256,256,158.000610,84.549408
864,256,256,156.722565,88.517311
896,256,256,158.007599,91.049187
928,256,256,156.820221,95.014946
960,256,256,158.953171,96.972382
992,256,256,156.903412,101.513855
1024,256,256,158.223679,103.914108
1056,256,256,156.320251,108.466270
1088,256,256,157.376602,111.003006
1120,256,256,156.125183,115.183708
1152,256,256,157.447235,117.479874
1184,256,256,154.884705,122.740868
1216,256,256,156.983154,124.373123
1248,256,256,155.056229,129.232391
1280,256,256,157.878052,130.176987
1312,256,256,154.604294,136.256836
1344,256,256,158.045013,136.541443
1376,256,256,155.558762,142.026688
1408,256,256,157.766418,143.296005
1440,256,256,155.835571,148.368576
1472,256,256,157.335968,150.219330
1504,256,256,156.922729,153.889145
1536,256,256,157.026184,157.059845
1568,256,256,157.531616,159.817505
1600,256,256,156.400589,164.258408
1632,256,256,157.943985,165.906372
1664,256,256,155.903610,171.373306
1696,256,256,157.881714,172.480515
1728,256,256,157.308365,176.375366
1760,256,256,157.540619,179.376740
1792,256,256,156.969055,183.303162
1824,256,256,157.549850,185.888641
1856,256,256,156.739090,190.128250
1888,256,256,157.568054,192.388824
1920,256,256,157.541611,195.682495
1952,256,256,157.974030,198.399292
1984,256,256,159.164841,200.143066
2016,256,256,158.138535,204.691040
2048,256,256,157.486603,208.800903
