dx,dy,dz,gFlops,gpu_comp
32,256,256,78.137825,1.744544
64,256,256,81.347443,3.351424
96,256,256,83.140465,4.918720
128,256,256,83.521774,6.528352
160,256,256,83.751915,8.138016
192,256,256,84.024933,9.733888
224,256,256,84.065285,11.350752
256,256,256,84.419304,12.917888
288,256,256,84.134651,14.581792
320,256,256,82.965843,16.430241
352,256,256,82.074821,18.269472
384,256,256,80.133308,20.413216
416,256,256,77.101501,22.983904
448,256,256,75.268456,25.354689
480,256,256,72.496399,28.204479
512,256,256,71.163528,30.648256
544,256,256,71.342857,32.481918
576,256,256,71.139946,34.490719
608,256,256,69.445587,37.295135
640,256,256,69.729874,39.097984
672,256,256,70.772995,40.447807
704,256,256,70.894753,42.301121
736,256,256,70.383263,44.545280
768,256,256,70.764305,46.231743
800,256,256,70.250061,48.510593
832,256,256,71.040230,49.889854
864,256,256,71.100693,51.764641
896,256,256,70.244301,54.336319
928,256,256,69.668625,56.741920
960,256,256,71.398392,57.276447
992,256,256,70.748039,59.729729
1024,256,256,70.356392,61.999714
1056,256,256,70.911522,63.436672
1088,256,256,70.602547,65.645027
1120,256,256,71.065460,67.135582
1152,256,256,71.592979,68.544930
1184,256,256,70.993111,71.044228
1216,256,256,71.411041,72.537315
1248,256,256,71.682854,74.163902
1280,256,256,70.932961,76.869698
1312,256,256,71.340492,78.341347
1344,256,256,71.759895,79.783073
1376,256,256,71.397186,82.097633
1408,256,256,71.325378,84.091454
1440,256,256,70.676102,86.792702
1472,256,256,71.314789,87.926849
1504,256,256,71.227455,89.948448
1536,256,256,71.042007,92.102051
1568,256,256,70.861900,94.259811
1600,256,256,70.141327,97.171585
1632,256,256,70.661003,98.386078
1664,256,256,70.913872,99.957504
1696,256,256,70.896385,101.904900
1728,256,256,71.002487,103.672478
1760,256,256,71.091087,105.460739
1792,256,256,71.303749,107.057953
1824,256,256,71.095062,109.289566
1856,256,256,71.057648,111.265472
1888,256,256,71.412758,112.621025
1920,256,256,70.450539,116.094109
1952,256,256,70.212921,118.428452
1984,256,256,71.770081,117.758301
2016,256,256,71.078438,120.821983
2048,256,256,70.953972,122.955101
