dx,dy,dz,gFlops,gpu_comp
32,256,256,154.832520,2.505760
64,256,256,157.676758,4.921120
96,256,256,159.410965,7.301376
128,256,256,160.131027,9.691392
160,256,256,160.322433,12.099776
192,256,256,158.479538,14.688576
224,256,256,148.534882,18.284000
256,256,256,140.462494,22.096895
288,256,256,136.211212,25.634880
320,256,256,132.783691,29.218431
352,256,256,136.161148,31.343040
384,256,256,137.064178,33.967136
416,256,256,135.714859,37.163586
448,256,256,137.357452,39.543713
480,256,256,135.732483,42.875488
512,256,256,135.411667,45.842209
544,256,256,135.672974,48.613537
576,256,256,135.840881,51.409534
608,256,256,133.967987,55.024258
640,256,256,134.574127,57.659393
672,256,256,134.898758,60.396671
704,256,256,135.451859,63.014336
736,256,256,135.546600,65.832573
768,256,256,135.233047,68.854141
800,256,256,135.427170,71.620255
832,256,256,136.085907,74.124512
864,256,256,135.525757,77.293602
896,256,256,134.392487,80.832253
928,256,256,133.769791,84.108833
960,256,256,136.089355,85.526115
992,256,256,135.924469,88.484192
1024,256,256,135.028229,91.944771
1056,256,256,134.337646,95.305473
1088,256,256,135.514404,97.340836
1120,256,256,135.863068,99.946655
1152,256,256,136.710251,102.165215
1184,256,256,136.693298,105.016159
1216,256,256,136.257904,108.199074
1248,256,256,136.530380,110.824799
1280,256,256,135.858444,114.228638
1312,256,256,136.884949,116.206337
1344,256,256,136.835098,119.084000
1376,256,256,136.621307,122.110115
1408,256,256,136.679337,124.896835
1440,256,256,136.459915,127.940804
1472,256,256,136.795120,130.463455
1504,256,256,136.777267,133.317017
1536,256,256,136.095718,136.835388
1568,256,256,135.481476,140.319427
1600,256,256,135.152161,143.531967
1632,256,256,135.717255,145.793030
1664,256,256,136.464996,147.837189
1696,256,256,136.094315,151.090622
1728,256,256,136.589600,153.383194
1760,256,256,136.182190,156.690979
1792,256,256,135.990799,159.764450
1824,256,256,135.387024,163.342590
1856,256,256,135.490189,166.081696
1888,256,256,135.323227,169.153625
1920,256,256,134.497650,173.076538
1952,256,256,133.456482,177.333923
1984,256,256,136.615433,176.073318
2016,256,256,134.905014,181.181595
2048,256,256,134.350784,184.816772
