dx,dy,dz,gFlops,gpu_comp
32,256,256,63.499157,12.054656
64,256,256,83.626320,18.306688
96,256,256,93.848755,24.468960
128,256,256,69.540840,44.029408
160,256,256,80.234528,47.701439
192,256,256,94.900009,48.395809
224,256,256,81.953484,65.381279
256,256,256,85.707184,71.448898
288,256,256,94.925850,72.573952
320,256,256,94.146057,81.305634
352,256,256,88.473122,95.170883
384,256,256,95.213860,96.472572
416,256,256,101.370171,98.164833
448,256,256,90.283432,118.697823
480,256,256,95.290092,120.494240
512,256,256,100.127762,122.317406
544,256,256,91.227402,142.641663
576,256,256,95.834023,143.772415
608,256,256,100.497375,144.717697
640,256,256,94.031700,162.809021
672,256,256,96.252617,167.005020
704,256,256,99.854919,168.645981
736,256,256,96.685181,182.091934
768,256,256,96.185936,190.995193
800,256,256,99.090172,193.122208
832,256,256,101.534843,196.011261
864,256,256,96.355927,214.490524
896,256,256,98.828880,216.868729
928,256,256,100.923950,219.951294
960,256,256,96.759628,237.328476
992,256,256,98.751465,240.292892
1024,256,256,101.638237,240.999207
1056,256,256,98.406654,256.691956
1088,256,256,99.027977,262.811157
1120,256,256,100.821533,265.728119
1152,256,256,99.863068,275.943634
1184,256,256,98.568375,287.333923
1216,256,256,100.509254,289.401184
1248,256,256,100.928833,295.782257
1280,256,256,98.724243,310.140839
1312,256,256,99.663719,314.897736
1344,256,256,101.322327,317.297699
1376,256,256,98.666245,333.597382
1408,256,256,100.236679,336.007355
1440,256,256,100.898438,341.390045
1472,256,256,100.011787,352.070312
1504,256,256,100.270081,358.797394
1536,256,256,101.601173,361.630707
1568,256,256,100.547295,373.034027
1600,256,256,100.047539,382.548370
1632,256,256,101.275665,385.467560
1664,256,256,101.149948,393.514252
1696,256,256,100.218285,404.810425
1728,256,256,100.903618,409.647003
1760,256,256,101.360840,415.351013
1792,256,256,99.932732,428.946411
1824,256,256,100.984955,432.056915
1856,256,256,102.090294,434.876862
1888,256,256,100.952759,447.359436
1920,256,256,100.874947,455.292725
1952,256,256,101.934700,458.068634
1984,256,256,101.935028,465.576447
2016,256,256,100.988564,477.519531
2048,256,256,101.672920,481.834015
